User,Article,Message,Price,Currency,Date,Status,Platform
laybo2_0,🤣 دعم المطور تمساح,,99,points,"7/1/2026, 3:02:55 AM",Pending,kick
Zakaria7BEN,🤣 دعم المطور تمساح,عاوز جواهر 1683563871,99,points,"7/1/2026, 3:02:55 AM",Pending,kick
Zakaria7BEN,🤣 دعم المطور تمساح,عاوز جواهر 1683563871,99,points,"7/1/2026, 3:02:55 AM",Pending,kick
laybo2_0,🤣 دعم المطور تمساح,,99,points,"7/1/2026, 3:02:55 AM",Pending,kick
laybo2_0,🤣 دعم المطور تمساح,,99,points,"7/1/2026, 3:02:55 AM",Pending,kick
yyiuy,🤣 دعم المطور تمساح,يا تمساح اشحنلي 2723667355,99,points,"7/1/2026, 3:02:55 AM",Pending,kick
mohemdup,💎 مستوي 6 + رقصة هدية,899759812,199,points,"7/1/2026, 3:02:25 AM",Pending,kick
Hos111444,🤣 دعم المطور تمساح,,99,points,"7/1/2026, 3:02:25 AM",Pending,kick
boosraouf,🤣 دعم المطور تمساح,,99,points,"7/1/2026, 3:02:25 AM",Pending,kick
khallj,🤣 دعم المطور تمساح,,99,points,"7/1/2026, 3:02:25 AM",Pending,kick
lokmboutak,🤣 دعم المطور تمساح,,99,points,"7/1/2026, 3:02:25 AM",Pending,kick
batman1_4,🤣 دعم المطور تمساح,,99,points,"7/1/2026, 3:02:25 AM",Pending,kick
meherneili,💎 مستوي 6 + رقصة هدية,9054969933,199,points,"7/1/2026, 3:02:25 AM",Pending,kick
aboflah_1,🤣 دعم المطور تمساح,,99,points,"7/1/2026, 3:02:25 AM",Pending,kick
batman1_4,🤣 دعم المطور تمساح,,99,points,"7/1/2026, 3:02:25 AM",Pending,kick
azeddine411,🤣 دعم المطور تمساح,i love you,99,points,"7/1/2026, 3:02:25 AM",Pending,kick
medofflol,🤣 دعم المطور تمساح,,99,points,"7/1/2026, 3:01:55 AM",Pending,kick
batman1_4,🤣 دعم المطور تمساح,,99,points,"7/1/2026, 3:01:55 AM",Pending,kick
batman1_4,🤣 دعم المطور تمساح,,99,points,"7/1/2026, 3:01:55 AM",Pending,kick
batman1_4,🤣 دعم المطور تمساح,,99,points,"7/1/2026, 3:01:55 AM",Pending,kick
batman1_4,🤣 دعم المطور تمساح,,99,points,"7/1/2026, 3:01:55 AM",Pending,kick
